,id,sex,Tribe,Genus,Species,sub-species,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,Perimeter,doresal/ventral,Anterior/Posterior,left/right,sub/Family,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,genotype,phenotype,sex-phenotype
34,153,f,Ithomiinae,Melinaea,marsaeus,phasiana,662235.0,1183.5394,1225,111.2782,325520888253,280029512020293,257322708568295008,0.57233,0.61272,0.64451,3621.3923,,,,,,,,,,,,,,,,
35,153,f,Ithomiinae,Melinaea,marsaeus,phasiana,667816.0,1208.7646,1223,60.6673,324551691220,279521493046692,257128914168495008,0.57002,0.61164,0.64409,3695.108,,,,,,,,,,,,,,,,
36,153,f,Ithomiinae,Melinaea,marsaeus,phasiana,989435.0,1692.1376,1806,144.0408,1260315653110,1667004980581570,2325806482908850176,0.62493,0.65887,0.68561,4897.1681,v,Ant,d,Ithomiinae,781.5425,858.0,-6.5764,188562867033.0,104029484278331.0,6.2154766821227e+16,0.5088,0.55009,0.58349,,,
37,153,f,Ithomiinae,Melinaea,marsaeus,phasiana,980367.0,1646.0044,1703,128.9114,1077836861390,1341251721702910,1763860577648880128,0.6157,0.65187,0.68007,4569.0777,v,Ant,g,Ithomiinae,793.2705,866.0,-1.376,190121535507.0,106122925696391.0,6.41928535676116e+16,0.50851,0.55033,0.58413,,,
38,153,f,Ithomiinae,Melinaea,marsaeus,phasiana,668145.0,1206.8766,1224,61.8907,327023000443,282181608599351,260017170960126016,0.57157,0.61297,0.64528,3702.841,,,,,,,,,,,,,,,,
39,153,f,Ithomiinae,Melinaea,marsaeus,phasiana,662440.0,1184.322,1225,58.3415,325819908560,280386243029224,257728744355057984,0.57251,0.61292,0.64472,3681.51,,,,,,,,,,,,,,,,
40,155,f,Ithomiinae,Melinaea,marsaeus,,874215.0,1591.5128,1704,104.7388,955196574635,1176647701228800,1532982612989309952,0.61343,0.64795,0.67532,4753.1437,,,,,,,,,,,,,,,,
41,155,f,Ithomiinae,Melinaea,marsaeus,,909872.0,1607.9049,1659,129.0412,949772325583,1151686152772990,1475920128275049984,0.61585,0.65204,0.68026,4320.5092,,,,,,,,,,,,,,,,
42,155,f,Ithomiinae,Melinaea,marsaeus,,606206.0,1138.1056,1192,30.5452,279428775603,232453730462251,206796382576568992,0.56957,0.60948,0.64114,3675.8431,,,,,,,,,,,,,,,,
43,155,f,Ithomiinae,Melinaea,marsaeus,,398829.0,976.5117,1005,73.642,119230977095,82233015544611,61196557752214704,0.54405,0.58783,0.62276,3925.7598,,,,,,,,,,,,,,,,
44,155,f,Ithomiinae,Melinaea,marsaeus,,911220.0,1610.0841,1661,127.7297,951999624015,1155269329391360,1481743507565870080,0.61537,0.6516,0.67986,4311.1122,,,,,,,,,,,,,,,,
45,155,f,Ithomiinae,Melinaea,marsaeus,,874741.0,1592.5295,1712,129.2414,953206241416,1173100101018220,1526914399965189888,0.60975,0.64414,0.6714,4677.5214,,,,,,,,,,,,,,,,
46,155,f,Ithomiinae,Melinaea,marsaeus,,398061.0,975.6387,1006,71.6423,119715544217,82718201805335,61667828557355296,0.54513,0.58878,0.62363,3878.0369,,,,,,,,,,,,,,,,
47,155,f,Ithomiinae,Melinaea,marsaeus,,588559.0,1117.0246,1195,-124.8781,281693104650,235690104890214,210516715706190016,0.57893,0.61681,0.64715,4715.092,,,,,,,,,,,,,,,,
48,156,f,Ithomiinae,Melinaea,marsaeus,phasiana,978946.0,1657.0691,1721,121.4306,1106185019044,1392205014211160,1850986164359879936,0.61767,0.65343,0.68137,4465.4869,d,Ant,d,Ithomiinae,790.056,863.0,11.1947,186784280167.0,103645619264429.0,6.23944123969917e+16,0.50615,0.54818,0.58222,,,
49,156,f,Ithomiinae,Melinaea,marsaeus,phasiana,975820.0,1656.9723,1734,150.7041,1136612620230,1446540299151280,1943522409835739904,0.6224,0.65756,0.6851,4478.9356,d,Ant,g,Ithomiinae,787.3398,866.0,37.1747,189023230054.0,105174395484326.0,6.34108023705383e+16,0.50822,0.54954,0.58302,,,
