,id,sex,genotype,phenotype_x,Perimeter,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,phenotype_y,Tribe,Genus,Species,sub-species,doresal/ventral,Anterior/Posterior,left/right,sub/Family,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,phenotype,sex-phenotype
67,790,m,a-e,elegans,4906.3641,817911,1203.2523,1195,-83.5004,3.82969E+11,3.26182E+14,2.98E+17,0.57261,0.61596,0.64989,elegans,,,,,,,,,,,,,,,,,,,
68,791,m,e-s,elegans,4752.2421,1170141,1790.8376,1835,131.5304,1.37173E+12,1.79664E+15,2.50E+18,0.59004,0.62869,0.65892,elegans,,,,,,,,,,,,,,,,,,,
69,791,m,e-s,elegans,4752.2421,815220,1221.815,1208,29.3167,3.954E+11,3.42174E+14,3.17E+17,0.57652,0.61981,0.65364,elegans,,,,,,,,,,,,,,,,,,,
70,791,m,e-s,elegans,4669.1437,1170141,1790.8376,1835,131.5304,1.37173E+12,1.79664E+15,2.50E+18,0.59004,0.62869,0.65892,elegans,,,,,,,,,,,,,,,,,,,
71,791,m,e-s,elegans,4669.1437,815220,1221.815,1208,29.3167,3.954E+11,3.42174E+14,3.17E+17,0.57652,0.61981,0.65364,elegans,,,,,,,,,,,,,,,,,,,
72,792,f,a-e,elegans,4678.8351,1013016,1692.4424,1731,-45.4198,8.23639E+11,9.611E+14,1.22E+18,0.52091,0.56766,0.60511,elegans,,,,,,,,,,,,,,,,,,,
73,792,f,a-e,elegans,4678.8351,655786,1160.0379,1143,1.4962,2.85317E+11,2.34001E+14,2.05E+17,0.57708,0.62054,0.65441,elegans,,,,,,,,,,,,,,,,,,,
74,792,f,a-e,elegans,4843.227,1013016,1692.4424,1731,-45.4198,8.23639E+11,9.611E+14,1.22E+18,0.52091,0.56766,0.60511,elegans,,,,,,,,,,,,,,,,,,,
75,792,f,a-e,elegans,4843.227,655786,1160.0379,1143,1.4962,2.85317E+11,2.34001E+14,2.05E+17,0.57708,0.62054,0.65441,elegans,,,,,,,,,,,,,,,,,,,
76,804,f,s-s,silvana,4705.2514,1071099,1753.8182,1828,52.8987,1.28387E+12,1.68176E+15,2.34E+18,0.59892,0.63582,0.66481,silvana,,,,,,,,,,,,,,,,,,,
77,804,f,s-s,silvana,4705.2514,660174,1155.2641,1131,25.6005,2.66049E+11,2.12861E+14,1.83E+17,0.56129,0.60629,0.64121,silvana,,,,,,,,,,,,,,,,,,,
78,804,f,s-s,silvana,4637.497,1071099,1753.8182,1828,52.8987,1.28387E+12,1.68176E+15,2.34E+18,0.59892,0.63582,0.66481,silvana,,,,,,,,,,,,,,,,,,,
79,804,f,s-s,silvana,4637.497,660174,1155.2641,1131,25.6005,2.66049E+11,2.12861E+14,1.83E+17,0.56129,0.60629,0.64121,silvana,,,,,,,,,,,,,,,,,,,
80,814,f,a-s,aurora,4524.4747,1172720,1821.0817,1895,117.5467,1.53518E+12,2.09695E+15,3.04E+18,0.60377,0.6405,0.66934,aurora,,,,,,,,,,,,,,,,,,,
81,814,f,a-s,aurora,4524.4747,755305,1238.5581,1218,-17.3992,3.68677E+11,3.21175E+14,2.99E+17,0.57361,0.61739,0.65145,aurora,,,,,,,,,,,,,,,,,,,
82,814,f,a-s,aurora,4822.9427,1172720,1821.0817,1895,117.5467,1.53518E+12,2.09695E+15,3.04E+18,0.60377,0.6405,0.66934,aurora,,,,,,,,,,,,,,,,,,,
