,id,sex,Perimeter,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,Tribe,Genus,Species,sub-species,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,sex-phenotype
76,804,f,4705.2514,1071099.0,1753.8182,1828,52.8987,1283865823373,1681757295299940,2.33623948631877e+18,0.59892,0.63582,0.66481,,,,,,,,,,,,,,
77,804,f,4705.2514,660174.0,1155.2641,1131,25.6005,266048797141,212861021327865,1.82604655022355e+17,0.56129,0.60629,0.64121,,,,,,,,,,,,,,
78,804,f,4637.497,1071099.0,1753.8182,1828,52.8987,1283865823373,1681757295299940,2.33623948631877e+18,0.59892,0.63582,0.66481,,,,,,,,,,,,,,
79,804,f,4637.497,660174.0,1155.2641,1131,25.6005,266048797141,212861021327865,1.82604655022355e+17,0.56129,0.60629,0.64121,,,,,,,,,,,,,,
80,814,f,4524.4747,1172720.0,1821.0817,1895,117.5467,1535183471271,2096950137538660,3.0353524112528e+18,0.60377,0.6405,0.66934,,,,,,,,,,,,,,
81,814,f,4524.4747,755305.0,1238.5581,1218,-17.3992,368677334581,321174995332097,2.99396501479712e+17,0.57361,0.61739,0.65145,,,,,,,,,,,,,,
82,814,f,4822.9427,1172720.0,1821.0817,1895,117.5467,1535183471271,2096950137538660,3.0353524112528e+18,0.60377,0.6405,0.66934,,,,,,,,,,,,,,
83,814,f,4822.9427,755305.0,1238.5581,1218,-17.3992,368677334581,321174995332097,2.99396501479712e+17,0.57361,0.61739,0.65145,,,,,,,,,,,,,,
84,815,m,4839.0676,1123574.0,1751.6928,1797,148.2064,1274842361242,1638887207607440,2.2381233193064e+18,0.59276,0.6311,0.66111,,,,,,,,,,,,,,
85,815,m,4839.0676,763788.0,1177.7192,1174,43.4054,345301638234,288532854345928,2.58054982510692e+17,0.57272,0.61575,0.64941,,,,,,,,,,,,,,
86,815,m,4954.4747,1123574.0,1751.6928,1797,148.2064,1274842361242,1638887207607440,2.2381233193064e+18,0.59276,0.6311,0.66111,,,,,,,,,,,,,,
